***************** properties *****************
"rocksdb.allow_mmap_reads"="false "
"rocksdb.level0_slowdown_writes_trigger"="20"
"fieldcount"="10"
"rocksdb.use_direct_reads"="false"
"insertproportion"="0"
"threadcount"="4"
"updateproportion"="0.05"
"readallfields"="true"
"requestdistribution"="uniform"
"rocksdb.whole_key_filtering"="true"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.block_restart_interval"="16"
"scanproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.block_size_deviation"="10"
"readproportion"="0.95"
"dotransactions"="true"
"recordcount"="3000000"
"rocksdb.allow_concurrent_memtable_writes"="true"
"rocksdb.max_bytes_for_level_multiplier"="10"
"workload"="core"
"rocksdb.allow_mmap_writes"="false"
"rocksdb.use_fsync"="false"
"rocksdb.no_block_cache"="false"
"rocksdb.arena_block_size"="0"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.block_size"="4096"
"fieldlength"="100"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.num_levels"="7"
"rocksdb.max_total_wal_size"="0"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.max_background_flushes"="2"
"maxscanlength"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.cache_index_and_filter_blocks"="false"
"operationcount"="10000000"
**********************************************
READ   - Takes(s): 140.0, Count: 168948, OPS: 1206.8, Avg(us): 3146, Min(us): 4, Max(us): 237353, 99th(us): 58000, 99.9th(us): 105000, 99.99th(us): 163000
UPDATE - Takes(s): 140.0, Count: 8744, OPS: 62.5, Avg(us): 3120, Min(us): 20, Max(us): 172210, 99th(us): 58000, 99.9th(us): 106000, 99.99th(us): 173000
READ   - Takes(s): 150.0, Count: 182838, OPS: 1218.9, Avg(us): 3115, Min(us): 4, Max(us): 237353, 99th(us): 58000, 99.9th(us): 104000, 99.99th(us): 162000
UPDATE - Takes(s): 150.0, Count: 9524, OPS: 63.5, Avg(us): 3075, Min(us): 20, Max(us): 172210, 99th(us): 56000, 99.9th(us): 106000, 99.99th(us): 173000
READ   - Takes(s): 160.0, Count: 197275, OPS: 1233.0, Avg(us): 3079, Min(us): 4, Max(us): 237353, 99th(us): 58000, 99.9th(us): 104000, 99.99th(us): 162000
UPDATE - Takes(s): 160.0, Count: 10238, OPS: 64.0, Avg(us): 3047, Min(us): 20, Max(us): 172210, 99th(us): 57000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 170.0, Count: 211774, OPS: 1245.7, Avg(us): 3047, Min(us): 4, Max(us): 237353, 99th(us): 58000, 99.9th(us): 103000, 99.99th(us): 161000
UPDATE - Takes(s): 170.0, Count: 11029, OPS: 64.9, Avg(us): 3019, Min(us): 20, Max(us): 172210, 99th(us): 57000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 180.0, Count: 226931, OPS: 1260.7, Avg(us): 3010, Min(us): 4, Max(us): 237353, 99th(us): 57000, 99.9th(us): 103000, 99.99th(us): 159000
UPDATE - Takes(s): 180.0, Count: 11798, OPS: 65.6, Avg(us): 2991, Min(us): 20, Max(us): 172210, 99th(us): 57000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 190.0, Count: 241988, OPS: 1273.6, Avg(us): 2981, Min(us): 4, Max(us): 237353, 99th(us): 57000, 99.9th(us): 103000, 99.99th(us): 158000
UPDATE - Takes(s): 190.0, Count: 12601, OPS: 66.3, Avg(us): 2939, Min(us): 20, Max(us): 172210, 99th(us): 56000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 200.0, Count: 258769, OPS: 1293.8, Avg(us): 2933, Min(us): 4, Max(us): 237353, 99th(us): 57000, 99.9th(us): 102000, 99.99th(us): 157000
UPDATE - Takes(s): 200.0, Count: 13536, OPS: 67.7, Avg(us): 2910, Min(us): 17, Max(us): 172210, 99th(us): 56000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 210.0, Count: 275693, OPS: 1312.8, Avg(us): 2892, Min(us): 4, Max(us): 237353, 99th(us): 56000, 99.9th(us): 102000, 99.99th(us): 158000
UPDATE - Takes(s): 210.0, Count: 14400, OPS: 68.6, Avg(us): 2837, Min(us): 17, Max(us): 172210, 99th(us): 55000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 220.0, Count: 292597, OPS: 1330.0, Avg(us): 2855, Min(us): 4, Max(us): 237353, 99th(us): 56000, 99.9th(us): 101000, 99.99th(us): 158000
UPDATE - Takes(s): 220.0, Count: 15319, OPS: 69.6, Avg(us): 2784, Min(us): 17, Max(us): 172210, 99th(us): 55000, 99.9th(us): 106000, 99.99th(us): 135000
READ   - Takes(s): 230.0, Count: 309855, OPS: 1347.2, Avg(us): 2818, Min(us): 4, Max(us): 237353, 99th(us): 56000, 99.9th(us): 101000, 99.99th(us): 158000
UPDATE - Takes(s): 230.0, Count: 16267, OPS: 70.7, Avg(us): 2755, Min(us): 17, Max(us): 172210, 99th(us): 55000, 99.9th(us): 105000, 99.99th(us): 135000
READ   - Takes(s): 240.0, Count: 327750, OPS: 1365.6, Avg(us): 2780, Min(us): 4, Max(us): 237353, 99th(us): 56000, 99.9th(us): 101000, 99.99th(us): 156000
UPDATE - Takes(s): 240.0, Count: 17192, OPS: 71.6, Avg(us): 2725, Min(us): 17, Max(us): 172210, 99th(us): 55000, 99.9th(us): 105000, 99.99th(us): 135000
READ   - Takes(s): 250.0, Count: 346557, OPS: 1386.2, Avg(us): 2738, Min(us): 4, Max(us): 237353, 99th(us): 56000, 99.9th(us): 100000, 99.99th(us): 155000
