***************** properties *****************
"fieldlength"="100"
"fieldcount"="10"
"rocksdb.use_fsync"="false"
"rocksdb.max_bytes_for_level_multiplier"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_background_flushes"="2"
"rocksdb.allow_concurrent_memtable_writes"="true"
"operationcount"="10000000"
"threadcount"="4"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"insertproportion"="0"
"updateproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.write_buffer_size"="134217728"
"readallfields"="true"
"readmodifywriteproportion"="0.5"
"rocksdb.use_direct_reads"="false"
"dotransactions"="true"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.block_size_deviation"="10"
"rocksdb.block_restart_interval"="16"
"rocksdb.cache_index_and_filter_blocks"="false"
"scanproportion"="0"
"rocksdb.whole_key_filtering"="true"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.max_total_wal_size"="0"
"recordcount"="3000000"
"rocksdb.no_block_cache"="false"
"rocksdb.block_size"="4096"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.num_levels"="7"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.allow_mmap_reads"="false "
"maxscanlength"="10"
"requestdistribution"="uniform"
"workload"="core"
"rocksdb.arena_block_size"="0"
"readproportion"="0.5"
"rocksdb.allow_mmap_writes"="false"
**********************************************
UPDATE - Takes(s): 120.0, Count: 208310, OPS: 1736.1, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 130.0, Count: 427971, OPS: 3292.4, Avg(us): 1189, Min(us): 4, Max(us): 684339, 99th(us): 34000, 99.9th(us): 133000, 99.99th(us): 453000
READ_MODIFY_WRITE - Takes(s): 130.0, Count: 214081, OPS: 1646.9, Avg(us): 1257, Min(us): 19, Max(us): 684391, 99th(us): 34000, 99.9th(us): 138000, 99.99th(us): 442000
UPDATE - Takes(s): 130.0, Count: 214081, OPS: 1646.9, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 140.0, Count: 440149, OPS: 3144.2, Avg(us): 1246, Min(us): 4, Max(us): 684339, 99th(us): 35000, 99.9th(us): 131000, 99.99th(us): 442000
READ_MODIFY_WRITE - Takes(s): 140.0, Count: 220242, OPS: 1573.3, Avg(us): 1311, Min(us): 19, Max(us): 684391, 99th(us): 35000, 99.9th(us): 136000, 99.99th(us): 440000
UPDATE - Takes(s): 140.0, Count: 220243, OPS: 1573.3, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 150.0, Count: 452262, OPS: 3015.3, Avg(us): 1300, Min(us): 4, Max(us): 684339, 99th(us): 36000, 99.9th(us): 131000, 99.99th(us): 442000
READ_MODIFY_WRITE - Takes(s): 150.0, Count: 226282, OPS: 1508.7, Avg(us): 1367, Min(us): 19, Max(us): 684391, 99th(us): 37000, 99.9th(us): 135000, 99.99th(us): 440000
UPDATE - Takes(s): 150.0, Count: 226283, OPS: 1508.7, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
